short_name,age,height_cm,weight_kg,overall,potential,pace,shooting,passing,dribbling,defending,physic,player_positions,position_category
S. Bendebka,28,181,72,70,70,74,65,66,71,58,72,CM,MIDFIELDER
Júnior Santos,26,188,85,70,72,70,70,52,68,26,74,ST,ATTACKER
Á. Cardozo Lucena,26,174,68,70,72,66,55,68,70,67,62,CM,MIDFIELDER
P. Hincapié,19,183,66,70,80,75,27,58,60,70,69,CB,DEFENDER
A. Broja,19,191,75,70,84,75,68,53,70,29,70,ST,ATTACKER
Robson Bambu,23,185,72,70,77,73,41,55,60,71,69,CB,DEFENDER
O. Marmoush,22,177,73,70,79,86,68,59,76,29,54,"ST, RM, LM",ATTACKER
M. Balikwisha,20,178,69,70,83,82,68,63,73,17,60,"RW, LW, ST",ATTACKER
Y. Hamache,21,177,73,70,80,77,61,67,71,64,68,LB,DEFENDER
L. Gourna,17,185,78,70,83,64,52,64,67,67,68,CDM,MIDFIELDER
S. Sithole,22,188,80,70,78,65,60,64,67,67,75,"CDM, CM",MIDFIELDER
M. Marić,26,188,80,70,73,68,70,52,64,28,72,ST,ATTACKER
E. Meza,22,175,72,70,76,77,49,59,69,63,68,RWB,DEFENDER
V. Larralde,20,170,63,70,79,71,60,70,71,60,51,"RM, CM",MIDFIELDER
M. Hybš,28,180,67,70,70,73,50,65,69,66,70,LB,DEFENDER
F. Kaša,27,190,77,70,72,73,35,56,66,71,66,CB,DEFENDER
M. Káčer,27,172,73,70,71,70,62,67,70,65,68,CM,MIDFIELDER
E. Matazo,19,174,67,70,81,74,58,68,73,65,70,"CDM, CM",MIDFIELDER
B. Zaynutdinov,23,185,75,70,76,78,67,67,68,60,69,"LM, LB",MIDFIELDER
O. Bukari,22,170,68,70,77,87,63,62,76,29,62,"RM, ST",MIDFIELDER
J. Muleka,21,180,77,70,79,77,69,57,71,25,69,"ST, RW, LW",ATTACKER
O. Nwobodo,24,179,72,70,77,84,64,65,71,67,70,"CDM, CM, RM",MIDFIELDER
O. Popescu,18,180,66,70,85,82,63,65,75,35,53,"LW, RW",ATTACKER
M. Polidar,21,179,73,70,76,78,62,64,70,64,68,"LB, LM",DEFENDER
K. El Berkaoui,25,174,63,70,75,87,72,54,72,24,61,ST,ATTACKER
B. Kutlu,23,183,75,70,78,67,60,62,68,68,69,"CM, CDM",MIDFIELDER
Rodri,21,168,62,70,82,73,65,65,72,37,53,"LM, CAM, CM",MIDFIELDER
J. Portillo,21,182,75,70,78,77,56,59,68,69,77,"CB, CM",DEFENDER
P. Sarr,18,184,70,70,82,67,63,68,71,65,58,"CM, CDM",MIDFIELDER
G. Del Prete,25,175,64,70,75,66,71,50,68,27,56,"ST, CF",ATTACKER
A. Duarte,21,182,73,70,80,68,37,47,54,73,68,CB,DEFENDER
E. Wahi,18,184,74,70,81,84,68,60,74,30,64,"ST, LM",ATTACKER
Francisco Conceição,18,170,64,70,86,78,61,63,76,31,44,RM,MIDFIELDER
C. Medina,19,178,70,70,83,69,59,67,71,59,62,CM,MIDFIELDER
V. Birmančević,23,179,67,70,79,83,65,60,75,37,56,LW,ATTACKER
Cantero,21,184,75,70,80,80,61,63,71,24,63,"LM, RM, ST",MIDFIELDER
Kiko Bondoso,25,171,65,70,73,77,67,64,73,33,52,"RW, LW, LM",ATTACKER
Thales,27,178,73,70,71,59,41,64,61,72,57,RB,DEFENDER
L. Abada,19,168,62,70,79,77,66,63,75,34,56,"RM, ST",MIDFIELDER
D. Samek,17,184,80,70,81,66,64,73,71,54,69,"CM, CDM",MIDFIELDER
Rúben Fernandes,35,187,81,69,69,57,51,56,57,70,71,CB,DEFENDER
F. Coloccini,39,184,83,69,69,32,54,59,60,71,64,CB,DEFENDER
Igor de Camargo,38,187,85,69,69,38,71,61,65,44,76,ST,ATTACKER
R. Ziegler,35,183,80,69,69,47,63,71,65,70,70,CB,DEFENDER
Rubén Castro,40,169,68,69,69,70,70,61,72,29,61,ST,ATTACKER
M. Constantin,36,185,80,69,69,50,52,53,54,69,78,CB,DEFENDER
C. Molinaro,37,182,82,69,69,60,49,62,65,70,64,"LB, LM",DEFENDER
B. Johnson,34,175,70,69,69,49,68,64,66,68,77,"CDM, CM",MIDFIELDER
Bobô,36,188,85,69,69,52,71,63,66,29,71,ST,ATTACKER
L. Licht,40,174,72,69,69,64,61,65,72,68,66,"LB, LWB, LM",DEFENDER
E. Velarde,35,174,72,69,69,67,58,66,64,67,67,LB,DEFENDER
N. Kilkenny,35,173,67,69,69,50,50,72,69,63,80,"CM, CDM",MIDFIELDER
J. Hayes,33,173,73,69,69,82,60,64,70,64,71,"LWB, LM, LB",DEFENDER
Pita,36,185,84,69,69,35,70,69,62,69,69,"CDM, CB, CM",MIDFIELDER
Xisco,35,188,84,69,69,32,73,52,62,33,80,ST,ATTACKER
C. Wondolowski,38,183,74,69,69,32,72,59,65,47,74,ST,ATTACKER
A. Bonnet,34,173,65,69,69,72,68,68,71,36,60,"LM, CAM, ST",MIDFIELDER
M. Scozzarella,33,175,66,69,69,78,61,73,72,57,60,"CM, CDM",MIDFIELDER
J. Meredith,33,179,73,69,69,76,44,61,63,65,75,"LB, LWB",DEFENDER
K. McFadzean,34,185,85,69,69,34,37,48,48,68,78,CB,DEFENDER
S. Kljestan,35,185,77,69,69,47,65,73,66,55,68,"CM, CAM",MIDFIELDER
C. Valencia,36,173,70,69,69,75,71,58,67,42,60,ST,ATTACKER
L. Jutkiewicz,32,185,77,69,69,53,67,57,63,40,82,ST,ATTACKER
A. Bodzek,35,184,80,69,69,53,54,61,57,71,72,"CDM, CM, CB",MIDFIELDER
R. Jenssen,33,173,71,69,69,68,64,70,68,59,75,"CM, CDM",MIDFIELDER
T. Derijck,34,186,81,69,69,43,45,50,52,72,68,CB,DEFENDER
D. Cabrera,31,180,76,69,69,63,61,71,67,62,69,"CDM, CM",MIDFIELDER
A. Skúlason,34,170,64,69,69,63,60,68,66,65,66,"LWB, LB, LM",DEFENDER
B. Kopplin,32,184,80,69,69,79,56,60,66,63,73,"LB, RB",DEFENDER
C. Gülselam,33,192,88,69,69,38,59,57,58,72,77,"CDM, CM",MIDFIELDER
Huang Bowen,33,181,72,69,69,67,63,70,63,65,73,"CDM, CM",MIDFIELDER
K. Barbarouses,31,171,68,69,69,85,69,62,72,32,71,"ST, RW",ATTACKER
M. Pereira,37,173,73,69,69,57,59,66,68,69,62,RB,DEFENDER
J. Morávek,31,180,78,69,69,37,69,73,72,55,56,"CM, CAM",MIDFIELDER
J. Berget,30,186,81,69,69,76,69,66,67,59,76,RW,ATTACKER
J. Jacobson,34,180,79,69,69,68,59,68,65,68,74,"CB, LB",DEFENDER
P. Oniangué,32,190,78,69,69,60,65,62,63,68,85,"CDM, CM, CB",MIDFIELDER
S. Gonther,34,186,86,69,69,60,33,45,43,71,69,CB,DEFENDER
M. Waghorn,31,178,83,69,69,65,71,68,63,33,76,"ST, RM",ATTACKER
L. Nestor,32,179,70,69,69,52,43,55,55,69,78,CB,DEFENDER
G. Bellusci,31,184,80,69,69,54,49,58,61,70,72,CB,DEFENDER
H. Arter,31,176,70,69,69,59,69,68,67,65,70,"CDM, CM",MIDFIELDER
J. Rhodes,31,185,71,69,69,60,70,53,63,39,62,ST,ATTACKER
C. Chávez,35,169,65,69,69,73,66,67,72,44,60,"CAM, LM",ATTACKER
Antoñito,33,175,67,69,69,80,59,61,70,61,70,"RB, RM, RWB",DEFENDER
D. Kadah,35,188,80,69,69,52,70,67,70,31,73,"ST, CAM",ATTACKER
M. James,29,181,86,69,69,52,61,72,66,66,69,"CDM, CM",MIDFIELDER
V. Hedenstad,30,178,74,69,69,75,54,64,67,61,71,"RB, LB",DEFENDER
S. de Jong,32,185,82,69,69,43,75,68,67,59,72,"CAM, CM, ST",ATTACKER
M. Rodríguez,35,178,75,69,69,71,61,65,68,65,72,RB,DEFENDER
J. Magennis,30,188,92,69,69,70,67,57,62,50,84,ST,ATTACKER
A. Adomah,33,185,74,69,69,73,66,65,70,53,63,"RM, LM",MIDFIELDER
A. Büttner,32,174,75,69,69,70,63,71,70,65,67,"LB, CDM",DEFENDER
O. Alanís,32,185,82,69,69,38,50,64,60,70,72,CB,DEFENDER
M. Godden,29,180,74,69,69,60,70,52,66,31,66,ST,ATTACKER
A. Kravets,32,189,79,69,69,55,70,57,62,40,72,"ST, CAM",ATTACKER
G. Friend,33,188,83,69,69,55,55,61,66,70,71,"CB, LB, LWB",DEFENDER
F. Ayité,32,175,73,69,69,82,66,65,71,35,65,"LM, CAM, ST",MIDFIELDER
R. Rodelin,31,193,93,69,69,54,70,69,70,41,73,"LW, CAM",ATTACKER
V. Sasso,30,190,85,69,69,33,27,52,51,69,75,CB,DEFENDER
R. Salinas,33,179,72,69,69,70,65,70,68,63,72,"RB, LB",DEFENDER
Serey Dié,36,179,77,69,69,54,55,62,65,68,73,"CDM, CM",MIDFIELDER
H. Eyjólfsson,30,190,86,69,69,74,44,56,55,69,73,CB,DEFENDER
G. Belaud,34,178,75,69,69,62,50,64,68,68,73,RB,DEFENDER
A. Gunnarsson,32,178,86,69,69,50,61,64,65,68,72,"CDM, CM",MIDFIELDER
J. Durmaz,32,180,69,69,69,58,67,71,73,32,59,"CAM, LM, CM",ATTACKER
M. Risse,31,183,75,69,69,63,70,71,69,65,63,"RM, RB",MIDFIELDER
T. Torun,31,176,72,69,69,72,64,68,71,27,59,"RM, CAM",MIDFIELDER
H. Afful,35,170,67,69,69,74,58,66,69,65,70,RB,DEFENDER
Sílvio,33,176,68,69,69,66,56,63,67,69,66,"LB, RB",DEFENDER
K. Smith,30,175,70,69,69,66,55,67,70,68,73,"CM, CDM",MIDFIELDER
Lombán,34,185,79,69,69,50,56,63,53,70,70,CB,DEFENDER
M. Vejinović,31,186,78,69,69,64,70,70,69,65,74,"CM, CDM",MIDFIELDER
Renato Chaves,31,185,79,69,69,49,47,54,50,69,76,CB,DEFENDER
L. Taylor,31,188,79,69,69,76,68,56,69,38,69,ST,ATTACKER
R. Gabrielsen,29,187,86,69,70,68,48,46,52,68,84,CB,DEFENDER
G. Zusi,34,178,70,69,69,57,68,74,68,65,73,RB,DEFENDER
M. Sollbauer,31,187,86,69,69,40,28,45,50,69,78,CB,DEFENDER
M. Besler,34,183,79,69,69,57,42,62,61,69,74,CB,DEFENDER
E. Hussain,28,176,69,69,70,59,63,66,70,62,66,CDM,MIDFIELDER
M. Gaus,31,183,80,69,69,78,60,66,65,60,79,"LB, LM, CDM",DEFENDER
M. D'Alessandro,30,173,65,69,69,87,62,61,73,37,47,"LM, RM, RW",MIDFIELDER
G. Gardner,29,186,82,69,69,54,68,69,66,67,74,CM,MIDFIELDER
M. Formica,33,176,70,69,69,70,68,68,72,40,54,"CAM, CM",ATTACKER
S. Polter,30,192,92,69,69,70,68,53,61,28,85,ST,ATTACKER
Juanpe,30,190,80,69,69,51,35,54,48,66,78,CB,DEFENDER
D. Lizio,32,168,62,69,69,71,58,61,75,35,58,"LM, RM, CM",MIDFIELDER
M. Rojas,29,168,64,69,69,89,64,63,72,45,47,"LM, CAM, RM",MIDFIELDER
H. Behrens,31,188,82,69,69,58,68,63,64,70,79,"CM, CAM",MIDFIELDER
Douglas,30,171,60,69,69,70,64,70,73,66,58,"RB, RM",DEFENDER
K. Leerdam,31,178,70,69,69,70,57,64,68,65,75,"RB, LB",DEFENDER
T. Lees,30,185,75,69,69,54,36,54,61,70,73,CB,DEFENDER
M. Coronel,32,180,82,69,69,50,44,50,49,69,71,CB,DEFENDER
D. Wotherspoon,31,180,76,69,69,67,63,69,73,57,69,"LW, CM",ATTACKER
J. Hunt,30,175,71,69,69,76,52,62,67,65,69,"RB, RWB",DEFENDER
N. Uysal,30,180,72,69,69,65,56,62,64,69,75,"CDM, CB, RB",MIDFIELDER
J. Börner,30,188,86,69,69,51,58,55,58,68,78,CB,DEFENDER
Flavio Paixão,36,184,75,69,69,68,68,65,70,34,69,ST,ATTACKER
T. Makino,34,182,77,69,69,63,51,60,64,69,76,CB,DEFENDER
J. Ahlmann,30,179,70,69,69,70,48,62,67,64,69,"LWB, LM, LB",DEFENDER
C. Erbes,31,172,72,69,69,67,54,60,63,72,65,"CDM, CM",MIDFIELDER
R. Varga,31,182,79,69,69,80,68,65,68,32,67,"LM, RM",MIDFIELDER
Edgar Costa,34,178,73,69,69,68,69,67,72,46,70,"RW, CM",ATTACKER
M. Peybernès,30,184,80,69,69,46,31,50,49,70,75,CB,DEFENDER
Crivellaro,32,184,81,69,69,59,67,69,68,45,69,CAM,ATTACKER
L. Trujillo,30,175,72,69,69,77,38,62,61,65,66,"LB, LM",DEFENDER
J. Velázquez,30,184,81,69,69,63,30,54,60,68,69,CB,DEFENDER
Nuno Reis,30,178,73,69,69,64,48,56,61,68,78,"CB, CDM",DEFENDER
I. Baldé,32,188,85,69,69,57,72,59,58,26,75,ST,ATTACKER
N. Besara,30,182,76,69,69,69,69,68,70,38,64,"CF, ST",ATTACKER
C. Fandrich,30,177,67,69,69,72,56,67,73,53,52,"CM, CDM, RM",MIDFIELDER
Ivo Pinto,31,182,75,69,69,79,47,63,67,65,70,RB,DEFENDER
S. Morsy,29,173,75,69,69,66,57,62,69,63,77,"CDM, CM",MIDFIELDER
D. Dąbrowski,28,182,81,69,69,69,56,65,65,66,78,CDM,MIDFIELDER
M. Höger,31,182,83,69,69,36,66,67,67,69,71,"CDM, CM",MIDFIELDER
Guerrero,30,181,76,69,69,66,69,62,68,42,68,ST,ATTACKER
T. Ream,33,186,80,69,69,57,43,67,68,70,69,CB,DEFENDER
T. Bradshaw,28,178,71,69,69,78,68,51,68,30,69,ST,ATTACKER
J. McClean,32,180,70,69,69,71,64,66,70,62,75,"LM, LW, LWB",MIDFIELDER
B. Paulsen,29,191,85,69,69,56,58,57,57,67,81,CB,DEFENDER
J. Zárate,29,169,64,69,69,86,60,62,71,51,53,"LM, LB",MIDFIELDER
Wellington Silva,28,173,65,69,69,86,64,69,72,32,45,"LM, RM, CF",MIDFIELDER
K. Zohore,27,194,96,69,69,65,69,48,64,26,75,ST,ATTACKER
E. Rashani,28,181,71,69,69,83,63,61,71,39,66,"LW, RW, LM",ATTACKER
J. Corona,30,178,72,69,69,68,59,65,69,68,70,"CDM, CM",MIDFIELDER
J. Hochscheidt,33,180,82,69,69,72,68,69,70,57,72,"LM, ST, CAM",MIDFIELDER
Yohan Tavares,33,188,82,69,69,58,39,52,53,70,74,CB,DEFENDER
L. Brattan,31,175,65,69,69,61,63,69,67,61,74,"CDM, CM",MIDFIELDER
Ji Dong Won,30,188,82,69,69,64,67,63,70,43,72,"ST, LM",ATTACKER
E. Lenjani,31,175,70,69,69,76,64,69,68,60,68,"LB, LM",DEFENDER
S. Kukuruzović,32,180,76,69,69,51,66,73,63,56,71,"CM, CDM",MIDFIELDER
J. Cools,30,189,75,69,69,52,56,64,60,70,73,"CDM, CM",MIDFIELDER
J. Knudsen,28,187,82,69,69,67,44,62,60,66,77,"LB, CB",DEFENDER
M. Kamiński,29,192,84,69,69,65,56,62,59,69,70,CB,DEFENDER
Bruno,31,185,86,69,69,31,29,44,42,70,75,CB,DEFENDER
B. Rienstra,31,182,67,69,69,62,62,64,67,68,73,"CM, CB, CDM",MIDFIELDER
M. te Wierik,29,191,73,69,69,53,48,59,62,69,73,"CB, RB",DEFENDER
L. Hinterseer,30,192,86,69,69,66,70,62,65,40,75,ST,ATTACKER
S. Skrzybski,28,174,70,69,69,79,70,65,72,33,62,"ST, RM",ATTACKER
Ł. Teodorczyk,30,188,86,69,69,58,70,57,63,32,71,ST,ATTACKER
A. La Mantia,30,190,81,69,69,54,67,35,61,30,79,ST,ATTACKER
H. Van Der Bruggen,28,180,74,69,69,47,62,69,68,68,67,"CM, CDM",MIDFIELDER
A. Fiola,31,183,78,69,69,70,35,57,60,67,68,"RB, CB, LB",DEFENDER
N. Dussenne,29,192,88,69,70,32,35,50,52,71,73,CB,DEFENDER
Negueba,29,177,65,69,69,84,60,63,73,38,57,"RM, CM, LM",MIDFIELDER
D. Fagundez,26,173,64,69,72,73,65,68,74,39,61,"CAM, CM, LM",ATTACKER
A. Limbombe,26,177,72,69,69,82,66,66,72,49,55,"LM, RM, LW",MIDFIELDER
S. Thern,28,181,76,69,69,76,65,67,71,58,69,CM,MIDFIELDER
A. Søderlund,33,187,86,69,69,57,70,56,64,39,80,ST,ATTACKER
G. Wikheim,28,182,65,69,69,86,58,63,74,44,53,"LW, LM",ATTACKER
J. Ayoví,33,186,83,69,69,60,70,58,67,41,72,ST,ATTACKER
M. Odubajo,27,177,72,69,69,80,56,62,67,67,69,"RWB, RB, LWB",DEFENDER
A. Behich,30,170,63,69,69,77,62,64,70,65,68,"LB, LM",DEFENDER
M. Boxall,32,188,91,69,69,56,42,58,57,67,80,CB,DEFENDER
D. Petratos,28,176,77,69,69,79,69,67,72,47,74,CAM,ATTACKER
A. Gogia,29,178,73,69,69,69,67,65,75,28,58,"RM, RW, LM",MIDFIELDER
Fabrício,31,183,77,69,69,64,70,66,67,33,75,"ST, LW",ATTACKER
T. Röcher,30,181,78,69,69,79,66,63,70,23,67,"RM, LM, ST",MIDFIELDER
M. Crooks,27,192,80,69,70,67,66,61,65,65,80,"CM, CAM, ST",MIDFIELDER
J. Newell,28,185,71,69,69,66,60,71,70,61,70,CM,MIDFIELDER
J. Graham,26,182,73,69,70,80,63,65,71,27,51,RM,MIDFIELDER
C. Battocchio,29,169,65,69,69,69,68,70,72,57,58,"CM, CDM, CAM",MIDFIELDER
Min Sang Gi,29,184,77,69,69,77,38,50,52,68,77,CB,DEFENDER
Kim Kee Hee,31,188,80,69,69,64,43,59,50,68,77,"CB, RB",DEFENDER
P. Filipović,30,188,81,69,69,67,52,60,60,69,76,CB,DEFENDER
R. Jansson,29,185,87,69,69,47,28,53,59,70,74,CB,DEFENDER
A. Stewart,28,183,76,69,70,56,22,46,52,69,79,CB,DEFENDER
C. Good,28,187,85,69,69,50,35,57,51,70,76,CB,DEFENDER
D. Williams,28,185,75,69,70,66,46,57,61,67,76,CB,DEFENDER
C. Löwe,32,175,67,69,69,66,58,67,67,67,63,"LB, LWB, LM",DEFENDER
G. Courtet,32,180,76,69,69,65,72,63,66,26,70,ST,ATTACKER
F. Veseli,28,183,80,69,69,70,41,58,65,70,67,"RB, CB",DEFENDER
M. Bakalorz,31,180,79,69,69,62,65,59,62,69,76,"CDM, CM",MIDFIELDER
E. Dilaver,30,184,82,69,69,70,52,59,61,68,75,"CB, RB",DEFENDER
Mikel Iribas,33,184,78,69,69,72,53,62,62,62,75,RB,DEFENDER
Y. Ayoub,27,174,70,69,70,69,64,71,71,65,68,"CM, CAM, LW",MIDFIELDER
T. Hemed,34,186,80,69,69,45,73,56,64,35,75,ST,ATTACKER
A. Trajkovski,28,179,78,69,69,71,72,66,74,26,57,"ST, CF, CAM",ATTACKER
A. Escoboza,28,171,68,69,69,73,65,69,71,61,66,"LB, CM, LM",DEFENDER
Oriol Rosell,28,182,76,69,69,36,56,66,66,67,69,"CDM, CM",MIDFIELDER
G. Hall,29,191,71,69,69,61,39,48,46,69,70,CB,DEFENDER
P. Steinhart,28,181,71,69,69,73,55,68,62,62,74,"LB, LM",DEFENDER
T. Kane,27,180,70,69,70,74,51,59,65,64,64,"RWB, RB",DEFENDER
B. Omrani,27,187,92,69,69,69,66,67,68,33,79,"ST, LW",ATTACKER
Jairo,29,181,76,69,69,83,69,62,69,39,64,"RW, RM",ATTACKER
M. Valoti,27,181,76,69,69,64,63,73,74,49,43,"CM, CAM, RM",MIDFIELDER
R. Alioui,29,186,82,69,69,67,69,63,68,34,61,ST,ATTACKER
O. Lewicki,28,171,68,69,69,62,54,60,66,69,74,"CDM, CM",MIDFIELDER
M. Wagué,30,191,85,69,69,35,33,42,44,68,82,CB,DEFENDER
M. Luongo,28,176,76,69,70,68,63,61,69,67,72,"CDM, CM",MIDFIELDER
A. Pritchard,28,171,62,69,69,66,68,71,72,46,47,CAM,ATTACKER
N. Dicko,29,173,74,69,69,84,66,60,70,34,72,ST,ATTACKER
M. Ihiekwe,28,185,80,69,69,70,36,44,57,68,79,CB,DEFENDER
I. Höhn,29,183,72,69,69,50,32,52,59,70,64,"CB, RB",DEFENDER
S. Walsh,26,180,76,69,71,66,31,62,64,68,71,"RB, CDM, CB",DEFENDER
L. Abecasis,31,170,74,69,69,82,50,63,67,64,76,RB,DEFENDER
E. Mathoho,31,190,76,69,69,62,40,45,52,70,74,CB,DEFENDER
J. Murphy,26,173,67,69,70,85,66,61,72,28,51,"LM, ST",MIDFIELDER
S. Prcić,27,181,75,69,69,53,59,71,68,67,66,"CM, CDM",MIDFIELDER
L. Jans,28,175,75,69,69,68,49,66,69,66,67,RB,DEFENDER
N. Bitton,29,194,84,69,69,52,50,65,63,70,73,"CB, CDM",DEFENDER
R. Camacho,30,185,79,69,69,38,42,62,57,67,78,CB,DEFENDER
M. Sampirisi,28,188,75,69,69,67,37,60,61,67,73,"RB, RM",DEFENDER
M. Bjørnbak,29,193,90,69,70,48,47,57,52,67,82,CB,DEFENDER
L. Vigen,26,180,80,69,70,73,60,67,68,63,76,CM,MIDFIELDER
B. Behrendt,29,187,85,69,69,66,53,56,45,68,74,"CB, CDM",DEFENDER
Abel Camará,31,185,78,69,69,74,71,60,67,22,77,"ST, RM",ATTACKER
M. Wallace,28,188,75,69,69,58,28,54,60,68,77,"CB, LWB, LB",DEFENDER
F. Andrada,27,180,76,69,70,75,73,63,67,27,67,ST,ATTACKER
R. Sanusi,29,181,75,69,69,65,63,69,70,64,74,"CM, CDM",MIDFIELDER
M. Eriksson,31,180,79,69,69,51,69,72,68,51,81,"CAM, CM",ATTACKER
Choi Sung Geun,29,183,73,69,69,72,54,60,63,67,75,"CDM, CM",MIDFIELDER
Zhou Dingyang,27,180,72,69,70,68,64,66,68,71,74,CM,MIDFIELDER
H. Hermannsson,26,190,84,69,71,45,24,50,57,68,78,CB,DEFENDER
M. Fox,27,185,78,69,70,63,43,58,61,68,70,"LWB, LB, CB",DEFENDER
Ľ. Šatka,25,188,78,69,72,62,29,54,53,69,68,CB,DEFENDER
J. Iloki,29,173,70,69,69,84,60,61,71,30,45,"RM, RW",MIDFIELDER
B. O'Neill,27,179,78,69,70,65,57,68,68,65,78,"CDM, CM",MIDFIELDER
J. Pelupessy,28,172,63,69,70,66,41,62,65,67,71,"CDM, CM",MIDFIELDER
R. Thelander,29,190,87,69,69,42,30,45,42,69,75,CB,DEFENDER
V. Alvarado,28,184,77,69,70,62,41,58,51,70,72,"CB, RB",DEFENDER
M. Herrera,32,183,81,69,69,43,36,46,50,69,67,CB,DEFENDER
M. Agu,28,185,79,69,70,64,44,56,65,70,74,CDM,MIDFIELDER
K. Wimmer,28,187,85,69,69,50,27,57,63,70,72,"CB, LB, CM",DEFENDER
D. Diamantakos,28,183,83,69,69,78,70,58,66,29,75,ST,ATTACKER
S. Doukara,29,183,87,69,69,67,69,66,70,27,71,"CAM, ST",ATTACKER
F. Chafik,34,182,72,69,69,63,52,58,64,68,75,RB,DEFENDER
A. Kuen,26,175,74,69,70,70,64,69,69,59,70,"LM, CM, CAM",MIDFIELDER
S. Çikalleshi,30,185,80,69,69,64,70,55,63,40,69,"ST, RM, LM",ATTACKER
M. Stendera,25,173,73,69,72,47,70,71,72,56,65,"CM, CAM, CDM",MIDFIELDER
A. Rømer,27,186,78,69,70,64,56,63,64,65,76,"CDM, CM",MIDFIELDER
A. Trondsen,26,183,78,69,72,76,68,69,69,66,74,"CM, LB",MIDFIELDER
N. Gießelmann,29,182,75,69,69,66,52,64,65,66,74,"LB, LWB",DEFENDER
C. Paterson,26,187,76,69,71,70,66,62,62,66,83,"ST, CM, RW",ATTACKER
C. Nielsen,27,182,76,69,70,73,65,70,70,61,70,"CM, CAM, CDM",MIDFIELDER
J. Lopez,29,173,68,69,69,82,61,64,72,40,56,"LW, LM, RM",ATTACKER
E. Saveljich,30,187,80,69,69,45,32,46,43,69,80,CB,DEFENDER
Pol García,26,185,76,69,73,54,32,65,62,70,69,"CB, LB",DEFENDER
A. Schiavone,28,180,83,69,69,61,68,69,70,62,75,"CM, CDM",MIDFIELDER
T. Lockyer,26,185,72,69,73,66,36,54,60,68,78,CB,DEFENDER
G. Evans,26,184,76,69,72,62,61,64,62,68,69,"CDM, CM, CB",MIDFIELDER
P. Riese,31,175,68,69,69,41,55,63,63,64,70,"CDM, CM",MIDFIELDER
R. Benatelli,29,181,82,69,69,48,62,67,70,61,73,"CDM, CM",MIDFIELDER
Bruno Mendes,26,184,82,69,70,65,70,58,68,22,67,ST,ATTACKER
P. Heise,30,184,78,69,69,71,61,66,67,62,73,LB,DEFENDER
N. Neidhart,26,177,68,69,70,78,54,59,65,61,68,RB,DEFENDER
A. Chipciu,32,176,73,69,69,77,68,67,69,52,70,RW,ATTACKER
Tobias Figueiredo,27,188,84,69,70,59,30,47,54,67,77,CB,DEFENDER
Lim Chai Min,30,188,82,69,69,71,30,42,45,69,77,CB,DEFENDER
A. Farrell,29,180,75,69,69,75,48,62,66,68,81,CB,DEFENDER
W. Saïd,26,173,71,69,71,75,69,65,72,29,57,"ST, RW, LW",ATTACKER
T. Martínez,26,171,61,69,70,70,62,69,72,44,51,"RM, CAM, CM",MIDFIELDER
J. Thiaré,28,180,68,69,69,84,68,55,70,22,67,ST,ATTACKER
A. Mabil,25,179,65,69,70,89,60,64,69,34,55,"RW, LW",ATTACKER
D. Douline,28,182,83,69,69,46,58,62,62,67,71,"CDM, CM",MIDFIELDER
Cifu,30,174,66,69,69,79,54,58,67,64,75,"RB, RWB, RM",DEFENDER
J. Marié,29,177,73,69,69,42,55,66,71,65,68,"CM, CDM",MIDFIELDER
Arthur Caike,29,174,71,69,69,79,71,65,69,28,69,"LM, ST, RM",MIDFIELDER
Joo Min Kyu,31,183,79,69,69,64,73,55,64,50,79,ST,ATTACKER
S. Asamoah,27,163,64,69,70,74,58,67,71,65,71,"CM, CDM",MIDFIELDER
F. Píriz,31,187,81,69,69,53,45,64,58,69,76,CDM,MIDFIELDER
F. Tobio,31,186,80,69,69,58,30,53,45,67,79,CB,DEFENDER
J. López,26,166,67,69,71,68,69,68,72,34,61,"CAM, RM",ATTACKER
J. Rothwell,26,183,77,69,72,79,61,67,74,58,65,"CM, CAM",MIDFIELDER
K. Gorré,26,178,73,69,70,79,67,62,70,33,61,LW,ATTACKER
A. Fletcher,25,188,78,69,73,73,69,44,67,29,69,ST,ATTACKER
S. Gallagher,25,193,75,69,71,69,69,56,65,45,74,"ST, LW, RW",ATTACKER
D. Holmes,26,168,65,69,69,80,58,66,73,52,48,"RW, LW, CM",ATTACKER
S. Mosquera,27,185,77,69,72,58,46,42,51,70,74,"CB, RB",DEFENDER
D. Mosquera,29,182,72,69,69,77,39,59,60,64,74,"LB, LM",DEFENDER
A. Correa,27,175,75,69,70,76,40,59,58,62,74,"LB, LM",DEFENDER
L. Pico,29,177,77,69,69,58,45,64,65,63,75,"CDM, CM",MIDFIELDER
G. Celis,28,178,73,69,69,64,51,60,66,68,68,CDM,MIDFIELDER
C. Vilches,37,181,78,69,69,37,40,49,55,70,75,CB,DEFENDER
D. Moreno,29,181,77,69,69,70,40,57,62,66,79,"CDM, CM",MIDFIELDER
J. Nieto,28,177,76,69,69,69,65,73,69,48,72,"CM, CAM",MIDFIELDER
C. Ayala,35,179,74,69,69,53,51,63,67,64,77,CDM,MIDFIELDER
J. Reinoso,36,180,78,69,69,74,72,47,67,29,59,ST,ATTACKER
F. Díaz,37,170,70,69,69,73,50,68,65,67,69,"LB, CB",DEFENDER
S. Pérez,28,175,69,69,69,68,59,62,67,62,62,"CM, CDM",MIDFIELDER
J. Karlström,26,182,81,69,72,67,54,64,66,66,81,"CDM, CM",MIDFIELDER
